INSTNM,STABBR,CONTROL,COMPL_RPY_1YR_RT,PCTPELL,COSTT4_A,MD_EARN_WNE_P10,GRAD_DEBT_MDN,COMPL_RPY_3YR_RT,UGDS,PREDDEG,repayment_risk
Michigan Technological University,MI,1,0.8655063291,0.2023,34152.0,78198.0,24990.0,0.8914728682,5955.0,3,0
University of Michigan-Dearborn,MI,1,0.5675253708,0.4624,24040.0,59649.0,22500.0,0.6105417277,5952.0,3,0
University of Michigan-Flint,MI,1,0.4843304843,0.386,20915.0,53230.0,25000.0,0.5238744884,4411.0,3,0
Mid Michigan College,MI,1,0.4631956912,0.3121,17703.0,37319.0,13750.0,0.5122807018,2098.0,2,0
Monroe County Community College,MI,1,0.5862068966,0.2433,10465.0,41646.0,12296.0,0.6451612903,1435.0,2,0
Montcalm Community College,MI,1,0.545,0.3043,12702.0,35499.0,16500.0,0.6113744076,1122.0,2,0
Muskegon Community College,MI,1,0.5980392157,0.2914,12178.0,36549.0,9125.0,0.6392694064,2760.0,2,0
North Central Michigan College,MI,1,0.5426829268,0.2929,19219.0,36594.0,14000.0,0.5647058824,942.0,2,0
Northern Michigan University,MI,1,0.6324245375,0.2795,27841.0,47107.0,21474.0,0.6964200477,6556.0,3,0
Northwestern Michigan College,MI,1,0.5292841649,0.3001,13753.0,38167.0,12500.0,0.6085192698,2813.0,2,0
Northwood University,MI,2,0.6054590571,0.2569,48780.0,63075.0,20842.0,0.6642036125,1974.0,3,0
Oakland Community College,MI,1,0.4528619529,0.3066,12353.0,37395.0,9105.0,0.5031347962,12748.0,2,0
Oakland University,MI,1,0.6043371522,0.3198,25182.0,58612.0,22750.0,0.654253234,12351.0,3,0
The University of Olivet,MI,2,0.5962732919,0.4947,47069.0,47907.0,27000.0,0.6525679758,892.0,3,0
Kuyper College,MI,2,0.7457627119,0.4314,38366.0,41066.0,21389.0,0.781512605,145.0,3,0
Ross Medical Education Center-Lansing,MI,3,0.3238822246,0.7245,,30072.0,9500.0,0.3530054645,135.0,1,1
Ross Medical Education Center-Warren,MI,3,0.3048180924,0.7022,,30481.0,9500.0,0.3288069835,237.0,1,1
Ross Medical Education Center-Flint,MI,3,0.2684845307,0.7296,,30060.0,9500.0,0.3058579575,116.0,1,1
Saginaw Valley State University,MI,1,0.6035049288,0.3517,24936.0,51955.0,25000.0,0.6397482958,5989.0,3,0
Schoolcraft Community College District,MI,1,0.5238095238,0.2807,12048.0,42722.0,10500.0,0.5576923077,7511.0,2,0
Siena Heights University,MI,2,0.5343839542,0.3419,44449.0,57529.0,18750.0,0.5955983494,1495.0,3,0
St Clair County Community College,MI,1,0.5162094763,0.2557,14391.0,40177.0,11750.0,0.587804878,2138.0,2,0
Southwestern Michigan College,MI,1,0.4481132075,0.3845,15589.0,37303.0,10959.0,0.5022624434,1431.0,2,0
Spring Arbor University,MI,2,0.6510791367,0.2869,44703.0,51732.0,26375.0,0.6939130435,1010.0,3,0
Twin City Beauty College,MI,3,0.4819277108,0.541,,23043.0,9320.0,0.5240963855,274.0,1,0
Walsh College,MI,2,0.7058823529,0.3474,,72081.0,16217.0,0.7777777778,445.0,3,0
Washtenaw Community College,MI,1,0.4675767918,0.2803,11826.0,39449.0,13310.0,0.5221518987,7816.0,1,0
Wayne County Community College District,MI,1,0.2065217391,0.3156,15401.0,29079.0,12062.0,0.2666666667,7423.0,1,1
Wayne State University,MI,1,0.5180591025,0.4569,27350.0,53493.0,21250.0,0.5721120984,15587.0,3,0
West Shore Community College,MI,1,0.5086206897,0.3016,10637.0,36115.0,9089.0,0.5762711864,782.0,2,0
Western Michigan University,MI,1,0.6124626547,0.2675,29237.0,53562.0,26188.0,0.6708100269,12568.0,3,0
Academy College,MN,3,0.5090909091,0.2571,33874.0,48300.0,29500.0,0.537037037,56.0,3,0
Alexandria Technical & Community College,MN,1,0.7893258427,0.1577,18698.0,49393.0,12000.0,0.8230452675,1533.0,2,0
Anoka Technical College,MN,1,0.6363636364,0.3332,22247.0,47746.0,11000.0,0.6814814815,1684.0,1,0
Anoka-Ramsey Community College,MN,1,0.6290076336,0.2031,21068.0,48342.0,13500.0,0.6836158192,4201.0,2,0
Augsburg University,MN,2,0.688751926,0.5614,62303.0,58829.0,25347.0,0.7435508346,2494.0,3,0
Northwest Technical College,MN,1,0.5650969529,0.3174,16905.0,42930.0,15000.0,0.6402116402,751.0,2,0
Bemidji State University,MN,1,0.7446211413,0.2832,22744.0,53755.0,19750.0,0.8071625344,3139.0,3,0
Bethany Lutheran College,MN,2,0.7944444444,0.2247,41013.0,46110.0,23000.0,0.8486486486,669.0,3,0
Bethel University,MN,2,0.8679446219,0.1852,58569.0,63764.0,21500.0,0.886618999,1871.0,3,0
Central Lakes College-Brainerd,MN,1,0.6129441624,0.1445,19543.0,42162.0,11000.0,0.664626683,1614.0,2,0
Concordia College at Moorhead,MN,2,0.8696186962,0.1907,45942.0,59317.0,26847.0,0.8996328029,1829.0,3,0
Concordia University-Saint Paul,MN,2,0.6892230576,0.3522,37239.0,59871.0,17832.0,0.7277108434,3018.0,3,0
Dakota County Technical College,MN,1,0.6363636364,0.2727,18552.0,51938.0,11000.0,0.6770098731,2168.0,2,0
Martin Luther College,MN,2,0.9323671498,0.2705,29250.0,47491.0,20177.0,0.9516908213,725.0,3,0
Lake Superior College,MN,1,0.6316397229,0.192,19723.0,46449.0,12775.0,0.6737193764,2471.0,2,0
Minnesota State Community and Technical College,MN,1,0.6449375867,0.2482,17194.0,45591.0,12000.0,0.6940547762,2942.0,2,0
Minnesota West Community and Technical College,MN,1,0.6442577031,0.1632,17408.0,45285.0,10987.0,0.6823855756,1762.0,1,0
Gustavus Adolphus College,MN,2,0.8551181102,0.207,67613.0,65607.0,26774.0,0.8706766917,1878.0,3,0
Hamline University,MN,2,0.7436762226,0.407,58110.0,61106.0,23770.0,0.7739837398,1776.0,3,0
Hennepin Technical College,MN,1,0.5990697674,0.2863,16032.0,49460.0,11433.0,0.6433691756,3157.0,1,0
Minnesota North College,MN,1,0.5805555556,0.3106,16346.0,45570.0,12000.0,0.5915119363,2013.0,2,0
Aveda Arts & Sciences Institute Minneapolis,MN,3,0.6077441077,0.2517,,34659.0,6333.0,0.6456953642,623.0,1,0
Inver Hills Community College,MN,1,0.5823817292,0.2375,17103.0,49898.0,13965.0,0.6419939577,2193.0,2,0
Macalester College,MN,2,0.8768472906,0.1723,82991.0,63878.0,23000.0,0.9068627451,2131.0,3,0
South Central College,MN,1,0.6409903714,0.3265,15401.0,45068.0,12000.0,0.6649006623,1946.0,2,0
Minnesota State University-Mankato,MN,1,0.7795658683,0.2096,23995.0,56922.0,21106.0,0.8229508197,11703.0,3,0
Metropolitan State University,MN,1,0.6369353917,0.4755,25172.0,64705.0,17100.0,0.6913649025,5616.0,3,0
University of Minnesota-Twin Cities,MN,1,0.7897538257,0.1765,30061.0,69020.0,19500.0,0.8189108783,31855.0,3,0
University of Minnesota-Crookston,MN,1,0.7659574468,0.2025,26068.0,58056.0,20500.0,0.8550295858,1729.0,3,0
Minneapolis College of Art and Design,MN,2,0.6768558952,0.4211,59972.0,40873.0,27000.0,0.69527897,705.0,3,0
Minneapolis Community and Technical College,MN,1,0.4967741935,0.4012,19683.0,40086.0,17954.0,0.5288270378,5268.0,2,0
Herzing University-Minneapolis,MN,2,0.3902261123,0.5668,26163.0,36909.0,21500.0,0.4517045455,740.0,3,1
Nova Academy of Cosmetology Woodbury,MN,3,0.628440367,0.4091,,31961.0,6333.0,0.592760181,122.0,1,0
University of Minnesota-Duluth,MN,1,0.8067812355,0.1879,27680.0,62616.0,22024.0,0.8423443889,7336.0,3,0
University of Minnesota-Morris,MN,1,0.7950310559,0.3255,27039.0,50919.0,18995.0,0.8072289157,936.0,3,0
Model College of Hair Design,MN,3,0.7173913043,0.3944,,25410.0,7139.0,0.7246376812,199.0,1,0
Minnesota State University Moorhead,MN,1,0.7264150943,0.2795,25197.0,50527.0,20000.0,0.7740945365,3072.0,3,0
North Hennepin Community College,MN,1,0.5498721228,0.2868,17470.0,51142.0,14750.0,0.6177184466,3451.0,2,0
Normandale Community College,MN,1,0.5915841584,0.2801,18694.0,50207.0,12000.0,0.6352128884,7044.0,2,0
North Central University,MN,2,0.8,0.4256,44475.0,45064.0,23200.0,0.8326693227,709.0,3,0
Northland Community and Technical College,MN,1,0.6197021764,0.2168,19638.0,44425.0,12000.0,0.6732891832,1554.0,2,0
University of Northwestern-St Paul,MN,2,0.8335949765,0.1573,51325.0,50755.0,21325.0,0.8534351145,1442.0,3,0
Northwestern Health Sciences University,MN,2,0.5060240964,0.2772,39863.0,48666.0,7500.0,0.6024096386,271.0,2,0
Oak Hills Christian College,MN,2,0.6956521739,0.4701,33958.0,35983.0,20980.0,0.7234042553,75.0,3,0
